Model,Top-1 Acc (%),Params,FLOPs,Throughput (img/s),Total Time (s),Avg Time/Image (s)
LSNet-T,84.98,11406920.0,320698496.0,1527.712068782709,6.545736074447632,0.0006545736074447632
LSNet-S,85.92,16142672.0,546113856.0,1107.8026467697123,9.026878595352173,0.0009026878595352173
LSNet-B,87.82,23307528.0,1263077888.0,637.3633681030323,15.689637184143066,0.0015689637184143066
LSNet-B_1,85.24,23307528.0,1263077888.0,645.4105128859779,15.494014739990234,0.0015494014739990234
