Model,Top-1 Acc (%),Params,FLOPs,Throughput (img/s),Total Time (s),Avg Time/Image (s)
LSNet-T,87.32446808510639,15748827.0,35185472.0,4650.645360086718,4.042449712753296,0.00021502392089113275
LSNet-S,87.75,32864151.0,58640832.0,4294.61384379817,4.3775763511657715,0.00023284980591307296
LSNet-B,88.44148936170212,96590591.0,157471872.0,3142.7576760762045,5.9820075035095215,0.000318191888484549
