Model,Top-1 Acc (%),Params,FLOPs,Throughput (img/s),Total Time (s),Avg Time/Image (s)
LSNet-T,0.26,11406920.0,320698496.0,1644.8356765902338,6.079634666442871,0.0006079634666442871
LSNet-S,0.84,16142672.0,546113856.0,1248.215566500739,8.011436700820923,0.0008011436700820923
LSNet-B,0.14,23307528.0,1263077888.0,687.6991040966368,14.541243314743042,0.0014541243314743042
